"id","titulo","ano","issn","titulo_serie","editora","autor","url"
9780955251221,"Phospholipid Technology and Applications",2008,,"Oily Press Lipid Library Series","Oily Press","Gunstone, F. D.","http://www.sciencedirect.com/science/book/9780955251221"
9781845691448,"Food Fortification and Supplementation",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Berry Ottaway, P","http://www.sciencedirect.com/science/book/9781845691448"
9781845692995,"Improving Farmed Fish Quality and Safety",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Lie, Ø","http://www.sciencedirect.com/science/book/9781845692995"
9781845691776,"Technology of Functional Cereal Products",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Hamaker, B R","http://www.sciencedirect.com/science/book/9781845691776"
9781845691455,"Delivery and Controlled Release of Bioactives in Foods and Nutraceuticals",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Garti, N","http://www.sciencedirect.com/science/book/9781845691455"
9781845690199,"Improving Seafood Products for the Consumer",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Børresen, T.","http://www.sciencedirect.com/science/book/9781845690199"
9781845691950,"Handbook of Water and Energy Management in Food Processing",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Klemes, J","http://www.sciencedirect.com/science/book/9781845691950"
9781845691943,"Environmentally Compatible Food Packaging",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Chiellini, E.","http://www.sciencedirect.com/science/book/9781845691943"
9781845692469,"In-Pack Processed Foods",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Richardson, P","http://www.sciencedirect.com/science/book/9781845692469"
9781845692605,"Case Studies in Food Product Development",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Earle, M","http://www.sciencedirect.com/science/book/9781845692605"
9781845692438,"Chilled Foods",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Brown, M.","http://www.sciencedirect.com/science/book/9781845692438"
9781845691837,"Fruit and Vegetable Flavour",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Brückner, B","http://www.sciencedirect.com/science/book/9781845691837"
9781845691844,"Improving the Health-Promoting Properties of Fruit and Vegetable Products",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Tomás-Barberán, F A","http://www.sciencedirect.com/science/book/9781845691844"
9781845695194,"Carbohydrate-Active Enzymes",2008,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Park, K.-H.","http://www.sciencedirect.com/science/book/9781845695194"
9781855734579,"Sugar Trading Manual",2008,,,"Woodhead Publishing","Kingsman, Jonathan","http://www.sciencedirect.com/science/book/9781855734579"
9780120884490,"Tropical Stream Ecology",2008,,"Aquatic Ecology","Academic Press","Dudgeon, David","http://www.sciencedirect.com/science/book/9780120884490"
9780120887651,"Physiology of Woody Plants (Third Edition)",2008,,,"Academic Press","Pallardy, Stephen","http://www.sciencedirect.com/science/book/9780120887651"
9780444529756,"Soilless Culture",2008,,,"Elsevier Science","Raviv, Michael","http://www.sciencedirect.com/science/book/9780444529756"
9780123694935,"Physiological Systems in Insects (Second Edition)",2008,,,"Academic Press","Klowden, Marc ","http://www.sciencedirect.com/science/book/9780123694935"
9780444519054,"Perspectives for Agroecosystem Management",2008,,,"Elsevier Science","Schroder, Peter","http://www.sciencedirect.com/science/book/9780444519054"
9780123838537,"Marine Mammals of the World",2008,,,"Academic Press","Jefferson, Thomas","http://www.sciencedirect.com/science/book/9780123838537"
9780444521699,"Chemical Bioavailability in Terrestrial Environment",2008,"0166-2481","Developments in Soil Science","Elsevier Science","Naidu, Ravendra","http://www.sciencedirect.com/science/book/9780444521699"
9780080449722,"Bioengineering and Molecular Biology of Plant Pathways",2008,"1755-0408","Advances in Plant Biochemistry and Molecular Biology","Pergamon","Lewis, Norman","http://www.sciencedirect.com/science/book/9780080449722"
9780126692013,"Beer",2009,,"Handbook of Alcoholic Beverages","Academic Press","Bamforth, Charles","http://www.sciencedirect.com/science/book/9780126692013"
9780123741974,"The Evolution of Hemispheric Specialization in Primates",2007,"1936-8526","Special Topics in Primatology","Academic Press","Hopkins, William","http://www.sciencedirect.com/science/book/9780123741974"
9780123741301,"Citrus Fruit",2008,,,"Academic Press","Ladanyia, Milind","http://www.sciencedirect.com/science/book/9780123741301"
9780123736420,"Computer Vision Technology for Food Quality Evaluation",2008,,"Food Science and Technology","Academic Press","Sun, Da-Wen","http://www.sciencedirect.com/science/book/9780123736420"
9780123738585,"Insect Resistance Management",2007,,,"Academic Press","Onstad, David W.","http://www.sciencedirect.com/science/book/9780123738585"
9780123738578,"Ecosystem Engineers",2007,"1875-306X","Theoretical Ecology Series","Academic Press","Cuddington, Kim","http://www.sciencedirect.com/science/book/9780123738578"
9780123736543,"Waste Management for the Food Industries",2008,,"Food Science and Technology","Academic Press","Arvanitoyannis, Ioannis","http://www.sciencedirect.com/science/book/9780123736543"
9780123742995,"Modelling the Flying Bird",2008,"1875-306X","Theoretical Ecology Series","Academic Press","Pennycuick, C.J.","http://www.sciencedirect.com/science/book/9780123742995"
9780123741738,"The Jehol Fossils",2008,,,"Academic Press","Chen, Pei-ji","http://www.sciencedirect.com/science/book/9780123741738"
9780123739766,"Insect Immunology",2008,,,"Academic Press","Beckage, Nancy","http://www.sciencedirect.com/science/book/9780123739766"
9780123741264,"Mycotoxins in Fruits and Vegetables",2008,,,"Academic Press","Barkai-Golan, R.","http://www.sciencedirect.com/science/book/9780123741264"
9780123736468,"Wine Science (Third Edition)",2008,,"Food Science and Technology","Academic Press","Jackson, Ronald","http://www.sciencedirect.com/science/book/9780123736468"
9780123739018,"Nutraceutical and Functional Food Regulations in the United States and Around the World",2008,,"Food Science and Technology","Academic Press","Bagchi, Debasis","http://www.sciencedirect.com/science/book/9780123739018"
9780123737397,"Gluten-Free Cereal Products and Beverages",2008,,"Food Science and Technology","Academic Press","Arendt, Elke","http://www.sciencedirect.com/science/book/9780123737397"
9780123741172,"Agroecological Economics",2008,,,"Academic Press","Wojtkowski, Paul","http://www.sciencedirect.com/science/book/9780123741172"
9780123742049,"Practical Design, Construction and Operation of Food Facilities",2008,,"Food Science and Technology","Academic Press","Clark, J. Peter","http://www.sciencedirect.com/science/book/9780123742049"
9780123739902,"What Can Nanotechnology Learn From Biotechnology?",2008,,"Food Science and Technology","Academic Press","David, Kenneth","http://www.sciencedirect.com/science/book/9780123739902"
9780123694386,"Principles of Biomedical Informatics",2008,,,"Academic Press","Kalet, PhD, Ira","http://www.sciencedirect.com/science/book/9780123694386"
9780123695079,"Principles of Nucleic Acid Structure",2008,,,"Academic Press","Neidle, Stephen","http://www.sciencedirect.com/science/book/9780123695079"
9780444532190,"Biochemistry of Lipids, Lipoproteins and Membranes (Fifth Edition)",2008,,,"Elsevier Science","Ridgway, Neale","http://www.sciencedirect.com/science/book/9780444532190"
9780123737380,"Electrochemical Sensors, Biosensors and their Biomedical Applications",2008,,,"Academic Press","Zhang, Xueji","http://www.sciencedirect.com/science/book/9780123737380"
9780123738844,"Principles of Bone Biology (Third Edition)",2008,,,"Academic Press","Bilezikian, John","http://www.sciencedirect.com/science/book/9780123738844"
9780123736956,"Principles and Practice of Clinical Trial Medicine",2008,,,"Academic Press","Chin, Richard","http://www.sciencedirect.com/science/book/9780123736956"
9780123704863,"The Bioarchaeology of Metabolic Bone Disease",2008,,,"Academic Press","Brickley, Megan","http://www.sciencedirect.com/science/book/9780123704863"
9780123740021,"Practical Guide to Clinical Computing Systems",2008,,,"Academic Press","Payne, Thomas","http://www.sciencedirect.com/science/book/9780123740021"
9780444522467,"Stories of Success",2007,"0069-8032","Comprehensive Biochemistry","Elsevier Science","Semenza, Giorgio","http://www.sciencedirect.com/science/book/9780444522467"
9780123739834,"Eukaryotic Transcription Factors (Fifth edition)",2007,,,"Academic Press","Latchman, David","http://www.sciencedirect.com/science/book/9780123739834"
9780123705013,"Bioconjugate Techniques (Second Edition)",2008,,,"Academic Press","Greg T. Hermanson","http://www.sciencedirect.com/science/book/9780123705013"
9780750683890,"Major Accidents to the Environment",2008,,,"Butterworth-Heinemann","Vince, Ivan","http://www.sciencedirect.com/science/book/9780750683890"
9780123739063,"Macromolecules in Solution and Brownian Relativity",2008,"1573-4285","Interface Science and Technology","Academic Press","Mezzasalma, Stefano","http://www.sciencedirect.com/science/book/9780123739063"
9780444530578,"Metal Nanoclusters in Catalysis and Materials Science",2008,,,"Elsevier Science","Corain, Benedetto","http://www.sciencedirect.com/science/book/9780444530578"
9780444530875,"Pesticide Risk Assessment in Rice Paddies",2007,,,"Elsevier Science","Capri, Ettore","http://www.sciencedirect.com/science/book/9780444530875"
9780750682602,"Pinch Analysis and Process Integration (Second Edition)",2006,,,"Butterworth-Heinemann","Kemp, Ian","http://www.sciencedirect.com/science/book/9780750682602"
9780444530585,"Past and Present in DeNOx Catalysis",2007,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Granger, Pascal","http://www.sciencedirect.com/science/book/9780444530585"
9780444530813,"Evaluation of the Effects and Consequences of Major Accidents in Industrial Plants",2008,"0921-9110","Industrial Safety Series","Elsevier Science","Casal, Joaquim","http://www.sciencedirect.com/science/book/9780444530813"
9780444522375,"Solid-Liquid Two Phase Flow",2008,,,"Elsevier Science","Peker, Sümer","http://www.sciencedirect.com/science/book/9780444522375"
9780444532152,"Alkene Polymerization Reactions with Transition Metal Catalysts",2007,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Kissin, Yury","http://www.sciencedirect.com/science/book/9780444532152"
9780123736116,"Combustion Engineering Issues for Solid Fuel Systems",2007,,,"Academic Press","Miller, Bruce","http://www.sciencedirect.com/science/book/9780123736116"
9780444531223,"Nanoparticle Technology Handbook",2008,,,"Elsevier Science","Hosokawa, Masuo","http://www.sciencedirect.com/science/book/9780444531223"
9780444530264,"Rotary Reactor Engineering",2008,,,"Elsevier Science","Kunii, Daizo","http://www.sciencedirect.com/science/book/9780444530264"
9780444530103,"Fractal Analysis of the Binding and Dissociation Kinetics for Different Analytes on Biosensor Surfaces",2008,,,"Elsevier Science","Sadana, Ajit","http://www.sciencedirect.com/science/book/9780444530103"
9780750685320,"Non-Newtonian Flow and Applied Rheology",2008,,,"Butterworth-Heinemann","Chhabra, R. P.","http://www.sciencedirect.com/science/book/9780750685320"
9780444530707,"Inorganic Membranes: Synthesis, Characterization and Applications",2008,"0927-5193","Membrane Science and Technology","Elsevier Science","Mallada, Reyes","http://www.sciencedirect.com/science/book/9780444530707"
9780444531889,"Mechanisms in Homogeneous and Heterogeneous Epoxidation Catalysis",2008,,,"Elsevier Science","Oyama, S. Ted","http://www.sciencedirect.com/science/book/9780444531889"
