"id","titulo","ano","issn","titulo_serie","editora","autor","url"
9781559388078,"Cell Chemistry and Physiology: Part III",1996,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388078"
9781559388122,"Membranes and Cell Signaling",1997,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388122"
9781559388115,"Immunobiology",1996,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388115"
9781559388061,"Cell Chemistry and Physiology: Part II",1996,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388061"
9781559388054,"Cell Chemistry and Physiology: Part 1",1995,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388054"
9781559388047,"Cellular Organelles and the Extracellular Matrix",1995,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388047"
9781559388030,"Cellular Organelles",1995,"1569-2582","Principles of Medical Biology","Elsevier Science","Bittar, Edward","http://www.sciencedirect.com/science/book/9781559388030"
9780444504418,"Bioseparation Engineering,Proceedings of an International Conference on Bioseparation Engineering: “Recovery and Recycle of Resources to Protect the Global Environment�, organized under the Special Research Group on Bioseparation Engineering in the Societ",2000,"0921-0423","Progress in Biotechnology","Elsevier Science","Endo, I.","http://www.sciencedirect.com/science/book/9780444504418"
9780444513199,"Antiviral Nucleosides",2003,,,"Elsevier Science","Chu, C.K.","http://www.sciencedirect.com/science/book/9780444513199"
9780444513946,"Industrial Proteins in Perspective",2003,"0921-0423","Progress in Biotechnology","Elsevier Science","Aalbersberg, W.Y.","http://www.sciencedirect.com/science/book/9780444513946"
9780762301584,"-- No Book Title available --",1997,"1569-2566","Advances in Molecular and Cellular Endocrinology","Elsevier Science","LeRoith, D.","http://www.sciencedirect.com/science/book/9780762301584"
9780444509581,"Molecular Breeding of Woody Plants,Proceedings of the International Wood Biotechnology Symposium (IWBS)",2001,"0921-0423","Progress in Biotechnology","Elsevier Science","Morohoshi, N.","http://www.sciencedirect.com/science/book/9780444509581"
9781559386630,"Transmembrane Receptors and Channels",1996,"1874-5342","Biomembranes: A Multi-Volume Treatise","Elsevier Science","Lee, A.G.","http://www.sciencedirect.com/science/book/9781559386630"
9781559386623,"ATPases",1996,"1874-5342","Biomembranes: A Multi-Volume Treatise","Elsevier Science","Lee, A.G.","http://www.sciencedirect.com/science/book/9781559386623"
9781559386616,"Endoctosis and Exocytosis",1996,"1874-5342","Biomembranes: A Multi-Volume Treatise","Elsevier Science","Lee, A.G.","http://www.sciencedirect.com/science/book/9781559386616"
9781559386609,"Receptors of Cell Adhesion and Cellular Recognition",1996,"1874-5342","Biomembranes: A Multi-Volume Treatise","Elsevier Science","Lee, A.G.","http://www.sciencedirect.com/science/book/9781559386609"
9781559386593,"Rhodopsin and G-protein Linked Receptors",1996,"1874-5342","Biomembranes: A Multi-Volume Treatise","Elsevier Science","Lee, A.G.","http://www.sciencedirect.com/science/book/9781559386593"
9781559386586,"General Principles",1995,"1874-5342","Biomembranes: A Multi-Volume Treatise","Elsevier Science","Lee, A.G.","http://www.sciencedirect.com/science/book/9781559386586"
9781559381666,"-- No Book Title available --",1996,"1067-568X","Advances in DNA Sequence-Specific Agents","Elsevier Science","Chaires, J.B.","http://www.sciencedirect.com/science/book/9781559381666"
9780762306107,"Phagocytosis:Microbial Invasion",1999,"1874-5172","Advances in Cellular and Molecular Biology of Membranes and Organelles","Elsevier Science","Gordon, S.","http://www.sciencedirect.com/science/book/9780762306107"
9780080443829,"Chemistry and Biology of Hyaluronan",2004,,,"Elsevier Science","Garg, Hari","http://www.sciencedirect.com/science/book/9780080443829"
9780080443966,"Progress in Biological Chirality",2004,,,"Elsevier Science","Palyi, Gyula","http://www.sciencedirect.com/science/book/9780080443966"
9780080434087,"RNA",2001,,,"Pergamon","Söll, D.","http://www.sciencedirect.com/science/book/9780080434087"
9780080448596,"Chemistry and Biology of Heparin and Heparan Sulfate",2005,,,"Elsevier Science","Garg, Hari","http://www.sciencedirect.com/science/book/9780080448596"
9780444502735,"Biomathematics",1999,,,"Elsevier Science","Andersson, S.","http://www.sciencedirect.com/science/book/9780444502735"
