"id","titulo","ano","issn","titulo_serie","editora","autor","url"
9780955251238,"Trans Fatty Acids in Human Nutrition",2009,,,"Oily Press","Destaillats, F","http://www.sciencedirect.com/science/book/9780955251238"
9781845692162,"Food Processing Technology",2009,,"Oily Press Lipid Library Series","Woodhead Publishing","Fellows, P J","http://www.sciencedirect.com/science/book/9781845692162"
9781845692186,"Endocrine-Disrupting Chemicals in Food",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Shaw, I","http://www.sciencedirect.com/science/book/9781845692186"
9781845691523,"Shellfish Safety and Quality",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Shumway, S E","http://www.sciencedirect.com/science/book/9781845691523"
9781845693268,"Soft Drink and Fruit Juice Problems Solved",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Ashurst, P","http://www.sciencedirect.com/science/book/9781845693268"
9781845694142,"Handbook of Hydrocolloids",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Phillips, G O","http://www.sciencedirect.com/science/book/9781845694142"
9781845694180,"Food Constituents and Oral Health",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Wilson, M.","http://www.sciencedirect.com/science/book/9781845694180"
9781845694654,"Dairy-Derived Ingredients",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Corredig, M","http://www.sciencedirect.com/science/book/9781845694654"
9781845694326,"Designing Functional Foods",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","McClements, D J","http://www.sciencedirect.com/science/book/9781845694326"
9781845694777,"Biofilms in the Food and Beverage Industries",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Fratamico, P M","http://www.sciencedirect.com/science/book/9781845694777"
9781845693428,"Functional and Speciality Beverage Technology",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Paquin, P","http://www.sciencedirect.com/science/book/9781845693428"
9781845693435,"Improving the Sensory and Nutritional Quality of Fresh Meat",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Kerry, J P","http://www.sciencedirect.com/science/book/9781845693435"
9781845694036,"Meals in Science and Practice",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Meiselman, H L","http://www.sciencedirect.com/science/book/9781845694036"
9781845693626,"Foodborne Pathogens",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Blackburn, C","http://www.sciencedirect.com/science/book/9781845693626"
9781845693848,"New Technologies in Aquaculture",2009,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing","Burnell, G","http://www.sciencedirect.com/science/book/9781845693848"
